Отчетная дата,Всего,добыча полезных ископаемых,добыча топливно-энергетических полезных ископаемых,обрабатывающие производства,производство пищевых продуктов,обработка древесины и производство изделий из дерева,целлюлозно-бумажное производство; издательская и полиграфическая деятельность,"производство кокса, нефтепродуктов и ядерных материалов",химическое производство,производство прочих неметаллических минеральных продуктов,металлургическое производство и производство готовых металлических изделий,производство машин и оборудования,производство машин и оборудования для сельского и лесного хозяйства,производство транспортных средств и оборудования,производство автомобилей,производство и распределение электроэнергии газа и воды,сельское хозяйство охота и лесное хозяйство,"сельское хозяйство, охота и предоставление услуг в этих областях",строительство,строительство зданий и сооружений,транспорт и связь,"деятельность воздушного транспорта, подчиняющегося и не подчиняющегося расписанию","оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования","операции с недвижимым имуществом, аренда и предоставление услуг",прочие виды деятельности,на завершение расчетов,inflation_rate,unemploy_rate,bucks_rate,gdp,gdp_growth,gdp_pps,gdp_usd,gdp_deflator,index_price_mod,index_price_mod_growth,index_price_mod_growth_prev_year,key_rate
2016-12-01,1846 295,12 229,7 093,261 201,69 783,11 079,16 088,7 073,10 463,18 748,36 407,20 064,1 890,17 132,8 204,21 037,144 684,131 767,379 637,305 606,97 888,55 979,474 119,206 342,234 674,14 484,0.4,5.4,65.2382,85 616.1,0.2,3 887.39,1 282.66,102.8,0,100.4,105.4,10.0
2017-01-01,1749 321,13 232,6 922,252 681,65 453,10 989,14 544,10 487,9 754,18 067,37 163,18 069,1 727,14 282,5 574,22 167,145 064,131 962,342 039,284 664,89 985,48 505,460 467,199 096,210 988,13 602,0.62,5.6,65.2382,91 843.2,1.8,4 026.53,1 578.41,105.3,105.0,0,100.6,9.25
2017-02-01,1816 619,26 005,7 269,259 169,73 269,11 282,8 470,10 757,8 995,15 701,37 489,30 061,1 754,12 710,5 478,22 734,145 708,133 571,370 107,308 798,92 236,49 290,461 313,201 441,223 898,14 006,0.22,5.6,60.0851,91 843.2,1.8,4 026.53,1 578.41,105.3,104.6,100.2,100.8,9.0
2017-03-01,1834 579,27 042,7 579,248 236,67 274,9 324,8 496,10 586,8 615,16 316,38 951,26 130,1 709,12 556,5 221,22 763,148 988,136 446,383 142,320 407,91 575,49 127,469 314,210 879,218 742,13 897,0.13,5.6,57.9627,91 843.2,1.8,4 026.53,1 578.41,105.3,104.3,100.1,101.0,9.0
2017-04-01,1814 807,24 879,5 992,242 055,66 808,9 681,8 601,10 162,8 558,16 333,37 265,21 984,1 711,12 504,5 495,24 363,145 954,133 336,382 027,321 151,90 458,48 638,458 963,216 710,215 863,13 533,0.33,5.2,55.9606,91 843.2,1.8,4 026.53,1 578.41,105.3,104.1,100.3,101.3,8.25
2017-05-01,1849 958,26 211,5 685,255 567,69 218,9 539,8 637,9 938,8 731,21 899,39 727,24 618,1 733,12 681,5 574,22 653,146 583,133 821,395 876,334 947,90 671,48 560,456 594,217 723,224 195,13 883,0.37,5.2,55.9606,91 843.2,1.8,4 026.53,1 578.41,105.3,104.1,100.4,101.7,8.25
2017-06-01,1849 906,26 418,5 690,265 589,71 740,10 276,8 547,9 986,9 646,24 798,46 123,24 536,1 735,11 928,5 550,15 402,147 976,135 178,378 615,317 443,91 069,48 773,457 289,222 217,231 189,14 143,0.61,5.2,56.6876,91 843.2,1.8,4 026.53,1 578.41,105.3,104.4,100.6,102.3,7.75
2017-07-01,1827 947,36 198,15 876,258 701,71 357,9 934,8 277,9 657,9 856,25 618,45 712,20 299, 335,11 739,5 412,14 815,148 212,135 482,363 720,309 720,86 513,47 507,450 829,225 299,230 060,13 600,0.07,5.0,59.3862,91 843.2,1.8,4 026.53,1 578.41,105.3,103.9,100.1,102.4,7.5
2017-08-01,1852 769,33 233,15 134,259 325,73 064,9 967,8 318,9 716,9 873,26 277,39 270,22 704, 336,11 518,5 871,14 813,150 648,137 855,359 831,306 844,84 112,47 508,461 174,242 385,233 825,13 424,-0.54,5.0,60.0633,91 843.2,1.8,4 026.53,1 578.41,105.3,103.3,99.5,102.8,7.25
2017-09-01,1850 311,33 455,15 148,264 818,72 583,10 064,8 069,9 256,11 203,29 409,39 358,24 411, 333,13 859,8 365,15 027,150 673,138 045,353 969,297 822,85 104,47 625,458 744,244 684,230 435,13 401,-0.15,5.0,58.5454,91 843.2,1.8,4 026.53,1 578.41,105.3,103.0,99.9,102.7,7.25
2017-10-01,1851 984,33 474,15 140,263 312,71 054,9 991,8 185,9 079,11 547,33 511,40 764,21 252, 555,13 867,8 365,15 115,147 509,134 422,370 328,308 387,74 779,40 863,458 097,244 861,231 085,13 425,0.2,5.1,58.5454,91 843.2,1.8,4 026.53,1 578.41,105.3,102.7,100.2,102.9,7.5
2017-11-01,1844 744,33 475,15 125,268 645,77 983,11 048,8 163,9 132,11 394,36 556,40 952,16 930, 337,13 652,8 366,14 863,144 029,130 912,263 768,204 225,75 531,41 453,460 124,346 715,224 091,13 503,0.22,5.1,58.1179,91 843.2,1.8,4 026.53,1 578.41,105.3,102.5,100.2,102.1,7.5
2017-12-01,1802 896,23 368,5 114,263 591,75 149,11 289,8 115,8 994,9 261,38 296,41 157,16 532, 336,13 553,8 364,19 268,144 483,131 372,263 941,204 067,66 295,31 981,441 570,341 328,225 869,13 185,0.42,5.1,58.5814,91 843.2,1.8,4 026.53,1 578.41,105.3,0,100.4,102.5,7.75
2018-01-01,1803 848,23 688,5 084,277 908,79 333,10 568,7 276,8 937,12 085,35 663,53 966,16 486, 337,13 431,8 205,19 278,149 048,136 218,267 510,206 080,65 085,31 976,448 256,320 652,219 538,12 885,0.31,5.1,58.5814,103 861.7,2.8,4 213.40,1 630.66,110.0,102.2,0,100.3,7.75
2018-02-01,1911 542,23 549,5 088,293 212,83 994,11 569,7 049,9 724,12 140,37 179,56 738,19 419, 313,14 330,9 106,21 690,150 515,139 469,289 732,222 542,65 026,32 544,456 651,389 511,208 771,12 883,0.21,5.1,56.184,103 861.7,2.8,4 213.40,1 630.66,110.0,102.2,100.2,100.5,7.75
2018-03-01,1931 162,23 639,5 163,290 060,85 138,12 402,6 952,8 936,12 310,37 503,52 948,19 658, 607,13 352,8 061,20 579,158 539,147 468,294 030,227 464,62 379,32 172,465 623,380 045,223 537,12 731,0.29,5.1,56.3742,103 861.7,2.8,4 213.40,1 630.66,110.0,102.4,100.3,100.8,7.5
2018-04-01,1930 410,23 553,5 116,285 744,84 344,13 092,6 904,9 046,13 143,38 194,48 985,18 407, 605,13 373,8 060,20 773,157 730,146 641,285 778,218 755,64 299,31 938,477 537,339 428,262 786,12 780,0.38,4.8,56.3742,103 861.7,2.8,4 213.40,1 630.66,110.0,102.4,100.4,101.2,7.25
2018-05-01,1965 131,23 521,5 108,300 754,81 935,14 430,6 817,9 052,12 878,54 301,48 352,18 595, 627,13 852,5 564,19 893,160 989,149 892,285 428,217 521,70 319,37 009,487 329,341 880,262 252,12 767,0.38,4.8,56.3742,103 861.7,2.8,4 213.40,1 630.66,110.0,102.4,100.4,101.6,7.0
2018-06-01,1931 867,23 911,5 156,297 899,79 575,13 585,6 707,9 061,12 744,53 338,49 127,19 864, 597,13 638,5 334,19 476,156 419,145 320,280 027,213 818,53 150,20 174,484 436,335 633,266 415,14 502,0.49,4.8,62.0188,103 861.7,2.8,4 213.40,1 630.66,110.0,102.3,100.5,102.1,6.5
2018-07-01,1909 718,23 017,4 410,299 095,80 971,13 788,6 730,11 085,15 548,51 144,45 445,19 562, 597,13 538,5 259,20 631,156 962,145 910,280 474,211 713,53 591,20 184,478 711,329 097,255 172,12 968,0.27,4.6,62.0188,103 861.7,2.8,4 213.40,1 630.66,110.0,102.5,100.3,102.4,6.0
2018-08-01,1938 821,23 350,4 909,316 865,94 797,15 028,7 125,9 759,15 773,50 966,45 861,21 821, 597,13 251,5 259,20 707,158 050,146 994,304 115,235 869,53 455,20 179,477 665,332 069,239 611,12 934,0.01,4.6,62.3497,103 861.7,2.8,4 213.40,1 630.66,110.0,103.1,100.0,102.4,5.5
2018-09-01,1970 915,28 778,10 163,322 882,96 839,14 887,7 086,9 711,16 914,51 861,47 141,21 425, 598,13 238,5 258,21 383,167 437,156 409,289 513,220 431,53 312,20 168,482 757,338 494,253 538,12 820,0.16,4.6,68.0447,103 861.7,2.8,4 213.40,1 630.66,110.0,103.4,100.2,102.5,4.25
2018-10-01,1973 028,28 396,9 825,333 883,110 716,14 773,6 711,9 834,18 272,53 184,44 862,17 959, 318,12 780,5 259,21 238,165 714,154 795,286 452,219 986,51 408,19 973,474 819,341 783,256 361,12 973,0.35,4.8,68.0447,103 861.7,2.8,4 213.40,1 630.66,110.0,103.5,100.4,102.9,4.25
2018-11-01,1965 442,33 909,15 361,344 949,114 885,14 856,6 700,9 909,18 321,59 755,45 104,18 103, 318,12 784,5 267,20 900,165 317,154 433,289 851,224 176,42 907,13 358,469 843,324 923,259 798,13 046,0.5,4.8,65.5962,103 861.7,2.8,4 213.40,1 630.66,110.0,103.8,100.5,103.4,4.25
2018-12-01,1961 154,29 648,11 078,347 448,114 095,14 991,7 220,10 025,18 708,60 587,45 280,20 471, 318,12 868,5 292,20 345,163 539,152 671,285 625,219 044,42 709,13 366,466 778,329 041,263 139,12 883,0.84,4.8,66.5335,103 861.7,2.8,4 213.40,1 630.66,110.0,0,100.8,104.3,4.25
2019-01-01,1899 307,23 235,4 805,331 550,101 334,15 614,7 360,9 768,14 713,60 278,45 091,18 414, 320,12 837,5 210,20 213,157 914,148 758,287 294,221 789,38 232,10 313,448 945,322 240,257 081,12 603,1.01,4.8,66.5335,109 608.3,2.2,4 284.37,1 693.32,103.3,105.0,0,101.0,4.25
